DATA_MEDICAO,INSOLACAO_TOTAL_H,NEBULOSIDADE_MEDIA_DECIMOS,PRECIPITACAO_TOTAL_MM,TEMP_MAX_MEDIA_C,TEMP_MEDIA_COMP_C,TEMP_MIN_MEDIA_C,UMIDADE_MEDIA_PCT
2010-01-31,173.9,7.0,305.8,26.4,21.5,17.8,82.6
2010-02-28,127.2,6.5,111.4,28.0,22.6,18.8,77.1
2010-03-31,170.5,6.7,106.7,24.7,19.9,16.4,83.7
2010-04-30,171.6,6.2,149.8,21.8,17.1,13.4,81.2
2010-05-31,88.2,7.9,155.9,17.0,13.6,11.0,87.5
2010-06-30,136.3,6.0,110.7,17.3,12.8,9.3,81.5
2010-07-31,167.8,5.2,224.6,17.8,12.7,8.9,77.0
2010-08-31,123.5,7.2,56.7,17.6,12.5,8.8,76.0
2010-09-30,162.4,6.4,208.2,20.0,15.2,11.6,75.9
2010-10-31,190.6,6.4,73.1,20.1,15.0,11.3,76.1
2010-11-30,241.1,6.2,116.1,23.4,17.7,13.4,73.1
2010-12-31,238.8,5.5,63.6,25.6,20.3,16.0,73.5
2011-01-31,200.0,7.1,201.9,27.2,22.0,18.6,81.3
2011-02-28,127.5,7.4,179.6,25.2,21.0,18.1,85.8
2011-03-31,196.6,5.5,204.0,24.3,19.3,15.7,79.7
2011-04-30,183.5,5.3,156.1,22.3,17.6,14.2,79.9
2011-05-31,131.1,6.5,76.4,17.8,13.7,11.0,82.1
2011-06-30,108.2,7.1,171.2,15.7,11.5,8.6,79.3
2011-07-31,123.5,6.9,299.5,16.3,11.8,8.9,79.4
2011-08-31,117.3,7.0,274.9,17.3,12.3,8.7,78.3
2011-09-30,190.1,4.8,88.2,20.6,14.6,10.0,70.5
2011-10-31,219.4,6.2,113.9,22.5,16.9,13.0,73.6
2011-11-30,233.1,5.4,21.5,24.7,18.7,13.9,70.5
2011-12-31,219.5,6.2,60.2,25.2,19.4,15.3,71.4
2012-01-31,253.2,5.5,252.4,26.4,20.9,16.8,74.0
2012-02-29,195.8,6.2,195.9,28.5,22.9,19.3,75.6
2012-03-31,259.0,4.3,80.8,25.5,19.9,16.0,72.3
2012-04-30,172.7,6.3,93.6,21.5,16.6,13.3,78.5
2012-05-31,225.1,4.8,41.5,21.1,15.7,11.9,72.7
2012-06-30,165.4,5.8,83.0,17.7,12.9,9.5,77.1
2012-07-31,156.7,6.3,203.6,15.9,11.1,7.7,78.9
2012-08-31,175.5,6.1,68.1,22.4,17.0,12.8,69.1
2012-09-30,170.3,6.6,218.2,21.3,15.5,11.4,73.6
2012-10-31,149.8,6.9,205.2,23.7,18.4,14.7,76.5
2012-11-30,244.4,5.5,70.6,25.4,19.7,15.1,67.8
2012-12-31,206.7,6.6,253.3,27.6,22.3,18.2,75.9
2013-01-31,266.4,5.6,131.6,25.7,20.1,15.7,74.2
2013-02-28,158.1,6.7,157.3,25.7,20.7,17.2,81.0
2013-03-31,130.9,6.7,159.9,22.2,17.8,14.8,83.3
2013-04-30,234.9,4.2,93.3,22.8,17.3,13.6,78.5
2013-05-31,170.9,6.5,110.8,19.5,14.7,11.4,79.3
2013-06-30,134.0,7.4,144.9,17.1,12.9,10.0,86.2
2013-07-31,214.5,4.9,82.3,17.5,12.0,8.3,75.7
2013-08-31,169.0,5.9,373.6,17.0,11.8,8.2,78.0
2013-09-30,165.6,6.5,186.2,20.4,15.0,11.0,76.1
2013-10-31,189.2,6.4,140.5,21.8,16.2,12.0,76.3
2013-11-30,233.9,5.6,284.9,25.3,19.2,14.6,70.6
2013-12-31,254.9,5.4,185.2,27.8,21.7,17.2,72.8
2014-01-31,219.3,5.9,163.1,28.7,23.1,19.2,73.6
2014-02-28,192.3,6.5,231.5,29.1,22.8,18.6,73.2
2014-03-31,183.0,6.5,145.1,24.6,19.6,16.3,79.9
2014-04-30,175.6,6.2,111.4,22.2,17.4,14.2,80.6
2014-05-31,171.1,7.0,115.3,18.4,13.9,11.0,84.6
2014-06-30,120.0,6.9,287.4,16.8,12.9,10.2,85.3
2014-07-31,195.1,5.3,166.3,18.2,13.2,9.7,77.7
2014-08-31,235.6,4.5,98.1,21.0,14.6,10.1,71.0
2014-09-30,140.4,7.4,177.2,21.1,16.1,12.5,80.4
2014-10-31,201.0,6.9,209.1,24.3,18.5,14.3,76.5
2014-11-30,220.6,5.9,122.5,25.5,19.9,15.5,72.9
2014-12-31,166.1,6.9,210.0,26.4,20.9,17.0,78.2
2015-01-31,200.8,7.2,168.6,27.9,22.2,18.5,77.9
2015-02-28,184.2,6.9,80.0,26.9,21.2,17.7,80.9
2015-03-31,199.6,6.9,94.1,25.3,20.0,16.6,81.2
2015-04-30,200.7,5.8,159.8,22.8,17.5,14.1,81.7
2015-05-31,153.5,6.6,148.1,19.8,15.2,12.4,82.7
2015-06-30,168.4,5.5,215.9,18.3,13.5,10.1,77.9
2015-07-31,121.8,7.8,272.1,17.7,13.4,10.4,84.1
2015-08-31,196.5,5.8,117.5,23.3,18.0,14.4,68.3
2015-09-30,136.1,7.1,279.4,20.1,15.0,11.5,79.2
2015-10-31,115.6,7.9,370.9,20.8,16.3,13.0,85.5
2015-11-30,143.0,7.7,127.1,22.8,18.0,14.6,81.3
2015-12-31,114.2,7.5,223.9,25.7,21.0,17.4,82.6
2016-01-31,208.0,6.0,147.4,27.8,22.3,18.3,74.9
2016-02-29,171.7,6.6,189.7,27.8,22.6,19.1,79.4
2016-03-31,180.4,6.6,298.7,23.8,19.2,16.3,82.6
2016-04-30,145.8,7.3,245.8,24.9,19.8,16.7,81.0
2016-05-31,117.4,7.6,66.1,16.1,12.1,9.4,87.0
2016-06-30,177.4,5.7,6.3,14.8,9.7,6.5,75.6
2016-07-31,194.8,5.9,275.5,17.9,12.3,8.7,76.1
2016-08-31,168.7,5.9,134.5,19.1,14.1,10.8,75.4
2016-09-30,207.9,5.3,69.7,20.0,13.7,9.6,74.0
2016-10-31,186.4,6.5,334.7,22.4,16.7,12.5,75.3
2016-11-30,232.1,5.5,115.7,24.5,18.3,13.5,71.5
2016-12-31,181.4,6.0,112.0,26.5,21.2,17.0,75.0
2017-01-31,186.4,6.6,196.5,27.3,22.0,18.2,78.7
2017-02-28,176.7,6.8,80.4,28.5,23.0,19.3,76.2
2017-03-31,190.0,6.0,262.5,25.0,19.6,16.1,80.3
2017-04-30,174.0,5.8,139.3,21.9,17.0,13.8,78.4
2017-05-31,124.8,7.4,282.4,19.5,15.6,12.9,84.3
2017-06-30,171.5,5.6,181.1,18.4,13.6,10.5,78.9
2017-07-31,247.8,3.0,28.7,20.2,14.4,10.5,67.3
2017-08-31,212.7,5.0,153.4,20.9,14.9,10.7,75.5
2017-09-30,156.2,6.0,116.8,24.6,18.7,14.9,77.0
2017-10-31,173.8,7.2,210.2,22.4,17.1,13.4,76.5
