PAIS,QUANTIDADE,VALOR,ANO,CONTINENTE,COD_PAIS
Alemanha,27715,138666,2010,Europa,DEU
Angola,33557,189891,2010,África,AGO
Antilhas Holandesas,9810,12808,2010,América Central,TWN
Austrália,1823,17960,2010,Oceania,AUS
Bahamas,3175,12759,2010,América Central,BHS
Bélgica,42532,185411,2010,Europa,BEL
Bolívia,54,282,2010,América do Sul,BOL
Cabo Verde,11991,49366,2010,África,CPV
China,795,2358,2010,Ásia,CHN
Singapura,1533,5504,2010,Ásia,SGP
Dinamarca,7034,69161,2010,Europa,DNK
Emirados Árabes Unidos,1035,3206,2010,Ásia,ARE
Estados Unidos,228968,478630,2010,América do Norte,USA
Estônia,15848,40778,2010,Europa,EST
França,3614,18904,2010,Europa,FRA
Guiana,783,3654,2010,América do Sul,GUY
Guiné Equatorial,410,1015,2010,África,GNQ
Haiti,2700,3750,2010,América Central,HTI
Hungria,540,4103,2010,Europa,HUN
Irlanda,3969,42795,2010,Europa,IRL
Itália,1458,4828,2010,Europa,ITA
Japão,112178,74628,2010,Ásia,JPN
Luxemburgo,7344,32549,2010,Europa,LUX
Holanda (Países Baixos),87368,302182,2010,Europa,NLD
Paraguai,510989,449197,2010,América do Sul,PRY
Polônia,20464,95198,2010,Europa,POL
Portugal,4577,18970,2010,Europa,PRT
Reino Unido,123624,295690,2010,Europa,GBR
Suíça,2025,21600,2010,Europa,CHE
Suriname,1836,1269,2010,América do Sul,SUR
República Tcheca,1091,5285,2010,Europa,CZE
Uruguai,914,2929,2010,América do Sul,URY
Vietnã,8820,9977,2010,Ásia,VNM
Alemanha,36070,144150,2011,Europa,DEU
Angola,13889,69001,2011,África,AGO
Antilhas Holandesas,7335,10188,2011,América Central,TWN
Argentina,13253,55460,2011,América do Sul,ARG
Aruba,900,1680,2011,América Central,ABW
Austrália,3632,40704,2011,Oceania,AUS
Bahamas,4529,28810,2011,América Central,BHS
Bélgica,11802,62339,2011,Europa,BEL
Bolívia,12775,20215,2011,América do Sul,BOL
Cabo Verde,600,825,2011,África,CPV
Canadá,28906,128076,2011,América do Norte,CAN
China,54156,334867,2011,Ásia,CHN
Singapura,911,3317,2011,Ásia,SGP
República do Congo,360,570,2011,África,COG
Cuba,2880,4899,2011,América Central,CUB
Dinamarca,32797,83057,2011,Europa,DNK
Emirados Árabes Unidos,2120,6594,2011,Ásia,ARE
Espanha,5206,24618,2011,Europa,ESP
Estados Unidos,306787,1030254,2011,América do Norte,USA
Estônia,450,5336,2011,Europa,EST
Finlândia,12404,50394,2011,Europa,FIN
Guiné Equatorial,956,1979,2011,África,GNQ
Hong Kong,2063,7975,2011,Ásia,HKG
Irlanda,5376,35690,2011,Europa,IRL
Itália,11999,80298,2011,Europa,ITA
Japão,100835,144662,2011,Ásia,JPN
Luxemburgo,9547,65592,2011,Europa,LUX
México,1350,7200,2011,América do Norte,MEX
Nigéria,54,210,2011,África,NGA
Noruega,10268,78688,2011,Europa,NOR
Nova Zelândia,2587,7992,2011,Oceania,NZL
Holanda (Países Baixos),125414,395356,2011,Europa,NLD
Paraguai,240168,276281,2011,América do Sul,PRY
Polônia,11732,50684,2011,Europa,POL
Portugal,95,1031,2011,Europa,PRT
Reino Unido,122629,285642,2011,Europa,GBR
Suécia,1641,14476,2011,Europa,SWE
Suriname,3774,3735,2011,América do Sul,SUR
Taiwan,4500,10600,2011,Ásia,COK
República Tcheca,6846,37271,2011,Europa,CZE
Uruguai,1238,4404,2011,América do Sul,URY
Alemanha,8189,56342,2012,Europa,DEU
Angola,2833,8861,2012,África,AGO
Antilhas Holandesas,9247,14081,2012,América Central,TWN
Austrália,9345,56045,2012,Oceania,AUS
Bahamas,1374,12087,2012,América Central,BHS
Bélgica,16132,90718,2012,Europa,BEL
Bolívia,11868,16804,2012,América do Sul,BOL
Canadá,14304,146035,2012,América do Norte,CAN
Chile,8550,15438,2012,América do Sul,CHL
China,87905,642177,2012,Ásia,CHN
Singapura,1212,5310,2012,Ásia,SGP
Dinamarca,4716,23802,2012,Europa,DNK
Emirados Árabes Unidos,675,3300,2012,Ásia,ARE
