PAIS,QUANTIDADE,VALOR,ANO,CONTINENTE,COD_PAIS
Africa do Sul,493093,1931449,2009,,
Alemanha,56075,291876,2009,Europa,DEU
Argentina,13902750,38521731,2009,América do Sul,ARG
Austrália,270908,998680,2009,Oceania,AUS
Áustria,1895,12073,2009,Europa,AUT
Chile,22476643,61380795,2009,América do Sul,CHL
Espanha,1119540,6224187,2009,Europa,ESP
Estados Unidos,85393,702825,2009,América do Norte,USA
França,2372448,16893114,2009,Europa,FRA
Grécia,52474,190076,2009,Europa,GRC
Hungria,12632,87626,2009,Europa,HUN
Israel,8924,36534,2009,,
Itália,8387908,23079424,2009,Europa,ITA
Líbano,5310,34971,2009,,
Nova Zelândia,30806,302244,2009,Oceania,NZL
Portugal,5884719,23688318,2009,Europa,PRT
Reino Unido,10236,53375,2009,Europa,GBR
Suíça,4860,13129,2009,Europa,CHE
Uruguai,750343,1953390,2009,América do Sul,URY
Africa do Sul,966276,3600658,2010,,
Alemanha,192661,784674,2010,Europa,DEU
Argentina,16965266,52126581,2010,América do Sul,ARG
Austrália,405271,1864846,2010,Oceania,AUS
Áustria,2329,30075,2010,Europa,AUT
Brasil,7,232,2010,América do Sul,BRA
Bulgária,20997,94727,2010,Europa,BGR
Chile,26434744,72983389,2010,América do Sul,CHL
Espanha,1622100,8698824,2010,Europa,ESP
Estados Unidos,194774,1344921,2010,América do Norte,USA
França,2799118,18778566,2010,Europa,FRA
Grécia,42449,196361,2010,Europa,GRC
Hungria,15193,160961,2010,Europa,HUN
Israel,15782,93252,2010,,
Itália,11911190,28683242,2010,Europa,ITA
Líbano,15741,123283,2010,,
México,7004,63663,2010,América do Norte,MEX
Nova Zelândia,102683,947043,2010,Oceania,NZL
Peru,33,252,2010,América do Sul,PER
Portugal,7801759,29299792,2010,Europa,PRT
Reino Unido,621,22292,2010,Europa,GBR
Suíça,2483,8010,2010,Europa,CHE
Uruguai,1219387,3175051,2010,América do Sul,URY
Africa do Sul,507509,2136394,2011,,
Alemanha,198025,933545,2011,Europa,DEU
Argentina,16673491,58806736,2011,América do Sul,ARG
Austrália,824440,2811273,2011,Oceania,AUS
Áustria,6357,56227,2011,Europa,AUT
Brasil,93,1164,2011,América do Sul,BRA
Bulgária,1097,2527,2011,Europa,BGR
Canada,2322,35032,2011,,
Chile,26642889,84952500,2011,América do Sul,CHL
Croácia,450,12388,2011,Europa,HRV
Eslovênia,3600,62602,2011,,
Espanha,1999970,11175636,2011,Europa,ESP
Estados Unidos,369806,1756901,2011,América do Norte,USA
França,3329437,22917012,2011,Europa,FRA
Grécia,82207,414329,2011,Europa,GRC
Hungria,15073,256240,2011,Europa,HUN
Israel,16382,68676,2011,,
Itália,12025827,35481781,2011,Europa,ITA
Líbano,17685,137954,2011,,
Nova Zelândia,151194,1267863,2011,Oceania,NZL
Portugal,8556375,35247223,2011,Europa,PRT
Reino Unido,270,6021,2011,Europa,GBR
Tunísia,16420,37492,2011,,
Uruguai,1264306,3481552,2011,América do Sul,URY
Africa do Sul,722327,3041449,2012,,
Alemanha,113243,591167,2012,Europa,DEU
Argentina,14613839,55633562,2012,América do Sul,ARG
Austrália,615334,2474783,2012,Oceania,AUS
Áustria,8098,85116,2012,Europa,AUT
Brasil,1051,15016,2012,América do Sul,BRA
Chile,30258795,93315735,2012,América do Sul,CHL
Croácia,630,16571,2012,Europa,HRV
Eslovênia,433,1223,2012,,
