PAIS,COD_PAIS,ANO_2010,ANO_2011,ANO_2012,ANO_2013,ANO_2014,ANO_2015,ANO_2016,ANO_2017,ANO_2018,ANO_2019,ANO_2020,ANO_2021,ANO_2022,ANO_2023
Aruba,ABW,2453597206.0,2637859217.0,2615208379.0,2727849720.0,2790849720.0,2962907262.0,2983635195.0,3092429050.0,3276184357.0,3395798882.0,2481857122.0,2929446578.0,3279343543.0,3648573136.0
Afeganistão,AFG,15856668555.0,17805098206.0,19907329777.0,20146416757.0,20497128555.0,19134221644.0,18116572395.0,18753456497.0,18053222687.0,18799444490.0,19955929052.0,14259995441.0,14497243872.0,17233051620.0
Angola,AGO,83799474069.0,111789747670.0,128052915766.0,132339109040.0,135966802586.0,90496420506.0,52761617225.0,73690154990.0,79450688259.0,70897962732.0,48501561203.0,66505129987.0,104399746853.0,84824654481.0
Emirados Árabes Unidos,ARE,300189052694.0,360832739558.0,384610125384.0,400218529747.0,414105366758.0,370275469560.0,369255326235.0,390516804016.0,427049432149.0,417989721734.0,349473015336.0,415178792769.0,502731935197.0,514130432653.0
Argentina,ARG,423627422092.0,530158122010.0,545982375701.0,552025140252.0,526319673731.0,594749285413.0,557532320662.0,643628393281.0,524819892360.0,447754683615.0,385740508436.0,486564085480.0,632790070063.0,646075277525.0
Antígua e Barbuda,ATG,1298255555.0,1281337037.0,1327107407.0,1325425925.0,1378829629.0,1437755555.0,1489692592.0,1531151851.0,1661529629.0,1725351851.0,1410796296.0,1601366666.0,1867733333.0,2033085185.0
Austrália,AUS,1148838233480.0,1398610616772.0,1547532281116.0,1577123329410.0,1468265356427.0,1351296372254.0,1206836962281.0,1325582658156.0,1427809041019.0,1392723834562.0,1328414058378.0,1556735770437.0,1690858246994.0,1728057316695.0
Áustria,AUT,389827789217.0,428954737064.0,406750487603.0,426580502769.0,438556021078.0,379546097300.0,393687359770.0,414926138132.0,452582294972.0,442983642371.0,434397601557.0,480467037338.0,471773629830.0,511685203845.0
Bélgica,BEL,481556503720.0,527196649048.0,498414364944.0,524097026598.0,537987419164.0,461044767544.0,474271566739.0,500908767351.0,542638913427.0,536726344405.0,529694473501.0,598494036474.0,593438820508.0,644782756682.0
Benim,BEN,9535345011.0,10693321370.0,11141358105.0,12517845127.0,13284527850.0,11388160997.0,11821065852.0,12701655845.0,14262408079.0,14391686309.0,15651545208.0,17690083519.0,17401746309.0,19676049075.0
Bangladesh,BGD,115275540051.0,128607482310.0,133310747603.0,149998957434.0,172886611653.0,195146608978.0,265224515675.0,293732446624.0,321362752441.0,351231654603.0,373979442362.0,416271647911.0,460131688909.0,437415331040.0
Bulgária,BGR,50760929302.0,57737040780.0,54288135058.0,55852123989.0,57157782909.0,50811995688.0,53964253211.0,59309748166.0,66289266348.0,68631726289.0,70716821234.0,84417951260.0,90642851835.0,102407653020.0
Bahrein,BHR,26805984042.0,29914680851.0,31963404255.0,33823324468.0,34772526595.0,32523297872.0,33884680851.0,37204813829.0,39567978723.0,40446808510.0,35837632978.0,40840212765.0,46680398936.0,46079867021.0
Bahamas,BHS,10095760000.0,10070450000.0,10720400000.0,10395800000.0,10974100000.0,11671900000.0,11745100000.0,12236700000.0,12615800000.0,13016200000.0,9958200000.0,11368900000.0,13136400000.0,14338500000.0
Bósnia e Herzegovina,BIH,17176315803.0,18644233537.0,17226735995.0,18179108530.0,18558733564.0,16404348871.0,17116926327.0,18326373366.0,20484053868.0,20482608755.0,20226036564.0,23672712242.0,24534663636.0,27514782476.0
Belize,BLZ,1745700000.0,1827050000.0,1909400000.0,2032750000.0,2138250000.0,2193050000.0,2240200000.0,2266300000.0,2293250000.0,2388300000.0,2042850000.0,2420550000.0,2846700000.0,3066850000.0
Bermudas,BMU,6634526000.0,6312691000.0,6378188000.0,6465756000.0,6413988000.0,6654541000.0,6899911000.0,7142316000.0,7225977000.0,7423465000.0,6887147000.0,7286607000.0,7827980000.0,8141700000.0
Bolívia,BOL,19649723722.0,23963164696.0,27084497481.0,30659338885.0,32996188012.0,33000198248.0,33941126200.0,37508642165.0,40287647930.0,40895322843.0,36629843805.0,40406111695.0,44008282877.0,45135398008.0
Brasil,BRA,2208837745214.0,2616156223977.0,2465227803011.0,2472819535742.0,2456043727198.0,1802212206904.0,1795693482652.0,2063514977334.0,1916933898038.0,1873288205186.0,1476107231194.0,1670647399034.0,1951923942083.0,2173665655937.0
Barbados,BRB,5191188500.0,5342183800.0,5271257500.0,5361158350.0,5365976700.0,5288057750.0,5330761500.0,5517340450.0,5629916200.0,5788288000.0,5168344450.0,5275242050.0,6257303500.0,6720733200.0
Canadá,CAN,1617343367486.0,1793326630174.0,1828366481521.0,1846597421834.0,1805749878439.0,1556508816217.0,1527994741907.0,1649265644244.0,1725329192783.0,1743725183672.0,1655684730000.0,2007472181464.0,2161483369422.0,2142470914401.0
Suíça,CHE,598851028906.0,715888126682.0,686420221557.0,706234937370.0,726537808338.0,694118186379.0,687895460902.0,695200833086.0,725568717468.0,721369112726.0,741999406005.0,813408787222.0,818426550206.0,884940402230.0
Chile,CHL,217051209240.0,251382573885.0,267024782480.0,277395018837.0,259560978231.0,242450355827.0,249344863933.0,276154259987.0,295857562991.0,278285058719.0,254042159309.0,315515014838.0,302116539409.0,335533331669.0
